Summary file for the word "love".
Album name : Debut
5) "Carolina" : 0 times
6) "Renegade" : 3 times
7) "Christmas Tree Farm" : 5 times
8) "Beautiful Ghosts" : 1 times
9) "Only The Young" : 0 times
10) "The Joker And The Queen" : 0 times
11) "Sweeter Than Fiction" : 0 times
In total, The word appears 10 times in the Specials album.

***** In Total, The word appears 404 times in Tyalor's Entire Discography *****
