name,album,num in album,is Explicit,num of words,duration in sec,path,num of obscenities
"Starlight",Red,15,false,340,220,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red15.txt,0
"Begin Again",Red,16,false,336,238,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red16.txt,0
"The Moment I Knew",Red,17,false,342,285,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red17.txt,0
"Come Back...Be Here",Red,18,false,323,223,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red18.txt,0
"Girl At Home",Red,19,false,395,220,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red19.txt,0
"Ronan",Red,20,false,307,264,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red20.txt,0
"Better Man",Red,21,false,488,297,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red21.txt,0
"Nothing New ft. Phoebe Bridgers",Red,22,false,387,258,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red22.txt,0
"Babe",Red,23,false,373,224,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red23.txt,0
"Message In A Bottle",Red,24,false,396,225,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red24.txt,0
"I Bet You Think About Me ft. Chris Stapleton",Red,25,true,476,285,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red25.txt,1
"Forever Winter",Red,26,false,354,263,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red26.txt,0
"Run ft. Ed Sheeran",Red,27,false,394,240,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red27.txt,0
"The Very First Night",Red,28,false,401,200,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red28.txt,0
"All Too Well (10 Minute Version)",Red,29,true,968,613,C:\Users\Ariel\Desktop\ProjectTaylor\Red\Red29.txt,0
"Welcome to New York",1989,1,false,347,212,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-1.txt,0
"Blank Space",1989,2,false,519,231,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-2.txt,0
"Style",1989,3,false,394,231,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-3.txt,0
"Out Of The Woods",1989,4,false,667,235,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-4.txt,0
"All You Had To Do Was Stay",1989,5,false,466,193,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-5.txt,0
"Shake It Off",1989,6,false,557,219,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-6.txt,0
"I Wish You Would",1989,7,false,592,207,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-7.txt,0
"Bad Blood (Remix) ft. Kendrick Lamar",1989,8,false,535,199,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-8.txt,0
"Wildest Dreams",1989,9,false,356,220,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-9.txt,0
"How You Get The Girl",1989,10,false,408,247,C:\Users\Ariel\Desktop\ProjectTaylor\1989\1989-10.txt,0
