Summary file for song averages in Taylor's discography

Album name : Debut
20) "Chloe or Sam or Sophia or Marcus" : 3:33
21) "How Did It End?" : 3:58
22) "So High School" : 3:48
23) "I Hate It Here" : 4:3
24) "​​thanK you aIMee" : 4:23
25) "I Look in People’s Windows" : 2:11
26) "The Prophecy" : 4:9
27) "Cassandra" : 4:0
28) "Peter" : 4:43
29) "The Bolter" : 3:58
30) "Robin" : 4:0
31) "The Manuscript" : 3:44
In summary, the song average in the The Tortured Poets Department album is 3m and 56s.

Album name : Specials
1) "Safe & Sound ft. The Civil Wars" : 3:59
2) "Eyes Open" : 4:3
3) "Crazier" : 3:12
4) "I Don’t Wanna Live Forever" : 4:7
5) "Carolina" : 4:24
6) "Renegade" : 4:14
7) "Christmas Tree Farm" : 3:48
8) "Beautiful Ghosts" : 4:21
9) "Only The Young" : 2:37
10) "The Joker And The Queen" : 3:5
11) "Sweeter Than Fiction" : 3:57
In summary, the song average in the Specials album is 3m and 47s.

***In summary, the average song length in Taylor's discography is 3m and 53s ***
